"Available from: ""http://www.isa.ulisboa.pt/proj/clipick/climaterequest_fast.php?ar=5&lat=38.7087&lon=-9.1849&mod=hisafe&fmt=csv&tspan=d&sd=01&sm=01&sy=1981&ed=31&em=12&ey=2010&dts=knmievaluation""",
Day,Month,Year,tasmax,tasmin,hurs,evspsbl,rsds,pr,sfcWind,vpd
1,1,1981,15.56,2.29,73.95,0.73,10.24,0.00,2.61,0.3241
2,1,1981,13.71,1.65,82.06,0.63,10.34,0.03,3.37,0.2024
3,1,1981,13.47,3.23,85.83,0.58,9.49,0.06,3.25,0.164
4,1,1981,13.95,6.20,86.13,0.44,9.13,0.01,5.04,0.1763
5,1,1981,14.53,6.50,88.28,0.55,9.86,0.03,4.12,0.1537
6,1,1981,14.11,4.52,80.26,0.76,10.09,0.00,4.40,0.2422
7,1,1981,14.71,3.68,79.08,0.71,10.50,0.00,3.82,0.2582
8,1,1981,14.36,3.01,77.45,0.77,10.67,0.00,5.09,0.27
9,1,1981,12.70,2.04,84.78,0.50,9.85,0.01,2.89,0.1656
10,1,1981,14.46,1.84,81.37,0.62,10.07,0.00,3.64,0.2184
11,1,1981,10.19,2.75,61.05,1.02,10.99,0.00,6.39,0.3872
12,1,1981,10.20,1.69,61.90,0.91,11.17,0.00,6.13,0.3686
13,1,1981,12.09,3.55,71.41,0.81,10.57,0.07,7.02,0.3143
14,1,1981,12.92,2.59,77.15,0.64,10.56,0.08,4.65,0.2543
15,1,1981,13.75,7.42,83.06,0.50,5.44,0.08,3.65,0.2206
16,1,1981,13.54,7.72,87.26,0.39,4.44,0.14,2.80,0.1659
17,1,1981,14.87,8.60,81.99,0.66,8.31,0.03,3.21,0.2529
18,1,1981,14.76,5.53,81.92,0.64,11.35,0.00,4.19,0.2336
19,1,1981,15.92,5.50,86.64,0.47,10.87,0.01,4.97,0.1812
20,1,1981,15.61,7.89,87.81,0.46,10.81,0.01,4.85,0.173
21,1,1981,16.75,6.44,87.39,0.63,10.75,0.03,2.34,0.181
22,1,1981,18.45,5.22,80.18,0.77,11.53,0.02,3.92,0.2982
23,1,1981,17.13,6.39,80.78,0.57,9.54,0.00,3.55,0.2801
24,1,1981,14.88,7.50,92.18,0.47,9.32,0.09,2.23,0.1067
25,1,1981,16.60,4.81,84.52,0.65,11.75,0.00,3.43,0.2128
26,1,1981,16.59,3.43,78.72,0.73,12.04,0.00,2.50,0.284
27,1,1981,17.11,6.06,76.47,0.60,7.39,0.05,2.82,0.34
28,1,1981,17.58,7.37,78.70,0.75,10.71,0.09,4.03,0.3235
29,1,1981,15.80,8.84,87.52,0.42,5.57,0.38,3.67,0.1829
30,1,1981,16.67,10.68,81.72,0.60,6.13,0.11,4.36,0.2909
31,1,1981,18.07,9.73,82.70,0.60,7.24,0.30,3.64,0.2836
1,2,1981,17.32,7.30,74.12,0.91,12.55,0.00,3.67,0.3882
2,2,1981,17.30,4.64,70.42,0.83,13.40,0.00,3.23,0.4179
3,2,1981,17.70,3.71,76.85,0.72,13.73,0.02,2.55,0.3267
4,2,1981,14.07,7.87,89.63,0.36,3.82,0.59,3.79,0.1384
5,2,1981,15.74,7.44,74.93,0.86,13.47,0.00,4.91,0.3536
6,2,1981,18.44,4.34,79.82,0.74,13.85,0.00,3.02,0.2981
7,2,1981,19.66,5.44,71.74,0.83,14.04,0.00,2.93,0.4506
8,2,1981,17.84,4.80,78.19,0.72,14.01,0.00,2.15,0.3166
9,2,1981,13.19,7.27,85.24,0.43,5.74,0.38,4.61,0.1872
10,2,1981,12.79,6.54,71.94,0.66,10.19,0.19,5.94,0.3435
11,2,1981,13.51,4.66,58.32,0.86,14.53,0.00,5.32,0.5002
12,2,1981,11.22,0.70,60.20,0.76,15.45,0.00,2.51,0.393
13,2,1981,11.79,7.14,84.71,0.84,8.64,3.60,3.68,0.1831
14,2,1981,12.33,6.30,86.99,0.59,5.43,0.95,6.37,0.1553
15,2,1981,10.42,8.44,90.88,0.67,2.78,3.33,6.37,0.108
16,2,1981,16.68,6.63,82.05,1.31,14.84,0.05,3.52,0.2581
17,2,1981,15.89,5.75,80.31,1.10,14.28,0.00,2.70,0.2682
18,2,1981,11.94,7.80,77.17,0.70,5.42,0.09,2.68,0.2803
19,2,1981,13.35,7.49,79.46,1.11,9.78,2.37,2.69,0.2638
20,2,1981,14.08,5.52,70.36,1.71,16.42,1.34,4.50,0.3722
21,2,1981,13.78,2.27,65.42,1.38,17.18,0.00,2.66,0.3969
22,2,1981,14.86,2.36,76.54,1.09,15.97,0.00,2.74,0.2832
23,2,1981,15.89,5.60,78.58,0.99,14.10,0.02,2.46,0.2908
24,2,1981,17.02,3.98,75.65,1.08,17.10,0.00,1.60,0.3351
25,2,1981,16.96,6.28,82.87,0.88,15.66,0.09,3.12,0.2472
26,2,1981,14.95,10.96,88.83,0.26,1.48,2.80,5.11,0.1681
27,2,1981,17.08,14.32,95.90,0.97,4.81,17.60,8.60,0.0734
28,2,1981,14.72,7.93,82.25,1.22,6.93,0.22,3.50,0.2434
1,3,1981,13.49,6.90,78.84,0.84,6.53,0.33,1.41,0.2689
2,3,1981,13.84,6.09,83.88,0.80,8.33,0.05,1.58,0.2034
3,3,1981,14.58,4.89,86.13,0.81,10.27,0.00,1.69,0.1751
4,3,1981,15.54,6.99,92.73,0.76,9.22,0.91,2.64,0.1006
5,3,1981,15.84,12.91,91.41,0.79,6.99,1.37,4.62,0.1413
6,3,1981,17.24,12.33,92.96,1.03,9.09,1.49,2.74,0.1197
7,3,1981,17.90,10.95,91.15,1.11,10.94,0.25,2.78,0.1487
8,3,1981,17.37,13.17,96.64,0.59,5.58,0.95,2.39,0.0588
9,3,1981,23.30,13.58,85.16,1.82,16.05,0.14,2.16,0.3277
10,3,1981,22.28,11.49,76.77,1.84,16.74,0.00,3.54,0.4699
