"Available from: ""http://www.isa.ulisboa.pt/proj/clipick/climaterequest_fast.php?ar=5&lat=38.7087&lon=-9.1849&mod=hisafe&fmt=csv&tspan=d&sd=01&sm=01&sy=2006&ed=31&em=12&ey=2100&dts=knmircp85""",
Day,Month,Year,tasmax,tasmin,hurs,evspsbl,rsds,pr,sfcWind,vpd
1,1,2006,15.71,8.24,92.44,0.40,3.87,0.95,1.79,0.1087
2,1,2006,16.07,9.30,91.75,0.62,8.63,0.17,2.34,0.1237
3,1,2006,16.99,8.70,91.62,0.64,8.68,0.13,3.67,0.1283
4,1,2006,17.47,8.37,87.37,0.77,9.31,0.06,3.66,0.1955
5,1,2006,17.23,6.80,87.02,0.83,9.91,0.01,3.52,0.1917
6,1,2006,17.04,6.36,88.44,0.65,9.57,0.00,1.82,0.1677
7,1,2006,14.45,7.34,91.57,0.53,6.92,0.13,2.80,0.1126
8,1,2006,13.55,6.38,89.18,0.66,9.08,0.02,2.20,0.1359
9,1,2006,14.94,5.15,92.79,0.36,5.18,1.33,3.12,0.093
10,1,2006,15.14,8.63,91.62,0.71,7.60,1.91,3.15,0.119
11,1,2006,16.23,5.30,83.11,0.97,10.31,0.00,3.71,0.231
12,1,2006,15.62,4.86,83.23,0.88,10.53,0.00,3.79,0.2212
13,1,2006,15.02,4.70,83.34,0.84,10.73,0.00,3.55,0.2134
14,1,2006,14.57,4.24,82.99,0.83,10.79,0.00,3.20,0.2114
15,1,2006,13.98,3.73,81.59,0.87,10.72,0.01,3.49,0.2204
16,1,2006,14.56,3.24,79.85,0.98,10.81,0.00,4.49,0.2447
17,1,2006,15.09,3.96,80.56,0.92,10.65,0.00,4.39,0.2455
18,1,2006,15.08,4.10,82.84,0.83,10.91,0.00,3.48,0.2173
19,1,2006,14.83,3.81,80.76,0.77,11.26,0.00,2.12,0.2395
20,1,2006,14.14,3.02,80.05,0.80,11.50,0.00,2.28,0.2366
21,1,2006,14.83,3.35,84.50,0.73,10.97,0.00,2.74,0.1909
22,1,2006,14.78,3.88,83.02,0.80,11.17,0.00,3.00,0.2112
23,1,2006,15.50,4.80,79.93,0.91,11.72,0.01,3.54,0.263
24,1,2006,14.82,3.41,81.80,0.82,11.98,0.00,3.23,0.2244
25,1,2006,11.94,5.10,89.32,0.41,2.51,4.83,4.58,0.1215
26,1,2006,15.41,7.35,89.06,0.75,6.11,0.79,3.17,0.1519
27,1,2006,17.02,4.16,81.46,1.07,12.35,0.00,3.73,0.2561
