,Day,Month,Year,tasmax,tasmin,hurs,evspsbl,rsds,pr,sfcWind,VPD Values
0,1,1,1981,15.56,2.29,73.95,0.73,10.24,0.0,2.61,0.198
1,2,1,1981,13.71,1.65,82.06,0.63,10.34,0.03,3.37,0.1414
2,3,1,1981,13.47,3.23,85.83,0.58,9.49,0.06,3.25,0.1085
3,4,1,1981,13.95,6.2,86.13,0.44,9.13,0.01,5.04,0.0996
4,5,1,1981,14.53,6.5,88.28,0.55,9.86,0.03,4.12,0.083
5,6,1,1981,14.11,4.52,80.26,0.76,10.09,0.0,4.4,0.1461
6,7,1,1981,14.71,3.68,79.08,0.71,10.5,0.0,3.82,0.1562
7,8,1,1981,14.36,3.01,77.45,0.77,10.67,0.0,5.09,0.1714
8,9,1,1981,12.7,2.04,84.78,0.5,9.85,0.01,2.89,0.1206
9,10,1,1981,14.46,1.84,81.37,0.62,10.07,0.0,3.64,0.1449
10,11,1,1981,10.19,2.75,61.05,1.02,10.99,0.0,6.39,0.3148
11,12,1,1981,10.2,1.69,61.9,0.91,11.17,0.0,6.13,0.3144
12,13,1,1981,12.09,3.55,71.41,0.81,10.57,0.07,7.02,0.2216
13,14,1,1981,12.92,2.59,77.15,0.64,10.56,0.08,4.65,0.1785
14,15,1,1981,13.75,7.42,83.06,0.5,5.44,0.08,3.65,0.1192
15,16,1,1981,13.54,7.72,87.26,0.39,4.44,0.14,2.8,0.0894
16,17,1,1981,14.87,8.6,81.99,0.66,8.31,0.03,3.21,0.1221
17,18,1,1981,14.76,5.53,81.92,0.64,11.35,0.0,4.19,0.13
18,19,1,1981,15.92,5.5,86.64,0.47,10.87,0.01,4.97,0.0947
19,20,1,1981,15.61,7.89,87.81,0.46,10.81,0.01,4.85,0.0829
20,21,1,1981,16.75,6.44,87.39,0.63,10.75,0.03,2.34,0.0868
21,22,1,1981,18.45,5.22,80.18,0.77,11.53,0.02,3.92,0.1369
22,23,1,1981,17.13,6.39,80.78,0.57,9.54,0.0,3.55,0.1318
23,24,1,1981,14.88,7.5,92.18,0.47,9.32,0.09,2.23,0.0541
24,25,1,1981,16.6,4.81,84.52,0.65,11.75,0.0,3.43,0.1103
25,26,1,1981,16.59,3.43,78.72,0.73,12.04,0.0,2.5,0.156
26,27,1,1981,17.11,6.06,76.47,0.6,7.39,0.05,2.82,0.1624
27,28,1,1981,17.58,7.37,78.7,0.75,10.71,0.09,4.03,0.1425
28,29,1,1981,15.8,8.84,87.52,0.42,5.57,0.38,3.67,0.0832
29,30,1,1981,16.67,10.68,81.72,0.6,6.13,0.11,4.36,0.1164
30,31,1,1981,18.07,9.73,82.7,0.6,7.24,0.3,3.64,0.11
31,1,2,1981,17.32,7.3,74.12,0.91,12.55,0.0,3.67,0.1739
32,2,2,1981,17.3,4.64,70.42,0.83,13.4,0.0,3.23,0.2096
33,3,2,1981,17.7,3.71,76.85,0.72,13.73,0.02,2.55,0.1664
