Available from: "http://www.isa.ulisboa.pt/proj/clipick/climaterequest_fast.php?ar=5&lat=38.7087&lon=-9.1849&mod=hisafe&fmt=csv&tspan=d&sd=01&sm=01&sy=1981&ed=31&em=12&ey=2010&dts=knmievaluation"
Day,Month,Year,tasmax,tasmin,hurs,evspsbl,rsds,pr,sfcWind,VPD,
1,1,1981,15.56,2.29,73.95,0.73,10.24,0.00,2.61,0.18578806749139132,
2,1,1981,13.71,1.65,82.06,0.63,10.34,0.03,3.37,0.15034261852262099,
3,1,1981,13.47,3.23,85.83,0.58,9.49,0.06,3.25,0.1601240988219288,
4,1,1981,13.95,6.20,86.13,0.44,9.13,0.01,5.04,0.13904986998309532,
5,1,1981,14.53,6.50,88.28,0.55,9.86,0.03,4.12,0.22058844355041152,
6,1,1981,14.11,4.52,80.26,0.76,10.09,0.00,4.40,0.23471652231711726,
7,1,1981,14.71,3.68,79.08,0.71,10.50,0.00,3.82,0.24621349645956647,
8,1,1981,14.36,3.01,77.45,0.77,10.67,0.00,5.09,0.15290440882789968,
9,1,1981,12.70,2.04,84.78,0.50,9.85,0.01,2.89,0.19937176537551793,
10,1,1981,14.46,1.84,81.37,0.62,10.07,0.00,3.64,0.36257963073344945,
11,1,1981,10.19,2.75,61.05,1.02,10.99,0.00,6.39,0.3459794900411135,
12,1,1981,10.20,1.69,61.90,0.91,11.17,0.00,6.13,0.2904329852322931,
13,1,1981,12.09,3.55,71.41,0.81,10.57,0.07,7.02,0.23423268989151824,
14,1,1981,12.92,2.59,77.15,0.64,10.56,0.08,4.65,0.19998245264424475,
15,1,1981,13.75,7.42,83.06,0.50,5.44,0.08,3.65,0.15044759151820197,
16,1,1981,13.54,7.72,87.26,0.39,4.44,0.14,2.80,0.2272461476678671,
17,1,1981,14.87,8.60,81.99,0.66,8.31,0.03,3.21,0.2115466094249825,
18,1,1981,14.76,5.53,81.92,0.64,11.35,0.00,4.19,0.1629297198987978,
19,1,1981,15.92,5.50,86.64,0.47,10.87,0.01,4.97,0.15508932063340208,
20,1,1981,15.61,7.89,87.81,0.46,10.81,0.01,4.85,0.1617160119889023,
21,1,1981,16.75,6.44,87.39,0.63,10.75,0.03,2.34,0.2640837782221306,
22,1,1981,18.45,5.22,80.18,0.77,11.53,0.02,3.92,0.24964678579847277,
23,1,1981,17.13,6.39,80.78,0.57,9.54,0.00,3.55,0.09613633966313562,
24,1,1981,14.88,7.50,92.18,0.47,9.32,0.09,2.23,0.19082293922875282,
25,1,1981,16.60,4.81,84.52,0.65,11.75,0.00,3.43,0.2551121301590452,
26,1,1981,16.59,3.43,78.72,0.73,12.04,0.00,2.50,0.303301957438492,
27,1,1981,17.11,6.06,76.47,0.60,7.39,0.05,2.82,0.28710823812002917,
28,1,1981,17.58,7.37,78.70,0.75,10.71,0.09,4.03,0.16342287674349532,
29,1,1981,15.80,8.84,87.52,0.42,5.57,0.38,3.67,0.2575547951803321,
30,1,1981,16.67,10.68,81.72,0.60,6.13,0.11,4.36,0.24985834010059937,
31,1,1981,18.07,9.73,82.70,0.60,7.24,0.30,3.64,0.34508772181965397,
1,2,1981,17.32,7.30,74.12,0.91,12.55,0.00,3.67,0.3730903090055724,
2,2,1981,17.30,4.64,70.42,0.83,13.40,0.00,3.23,0.29122447265780016,
3,2,1981,17.70,3.71,76.85,0.72,13.73,0.02,2.55,0.12512325895624032,
4,2,1981,14.07,7.87,89.63,0.36,3.82,0.59,3.79,0.31709304152012185,
5,2,1981,15.74,7.44,74.93,0.86,13.47,0.00,4.91,0.26432385793288393,
6,2,1981,18.44,4.34,79.82,0.74,13.85,0.00,3.02,0.39592171960051425,
7,2,1981,19.66,5.44,71.74,0.83,14.04,0.00,2.93,0.2816556747919432,
8,2,1981,17.84,4.80,78.19,0.72,14.01,0.00,2.15,0.1703493165318536,
9,2,1981,13.19,7.27,85.24,0.43,5.74,0.38,4.61,0.3137707926525014,
