Day,Month,Year,tasmax,tasmin,hurs,evspsbl,rsds,pr,sfcWind,vpd
1.0,1.0,1981.0,15.56,2.29,73.95,0.73,10.24,0.0,2.61,0.5543493773931809
2.0,1.0,1981.0,13.71,1.65,82.06,0.63,10.34,0.03,3.37,0.3431649091572102
3.0,1.0,1981.0,13.47,3.23,85.83,0.58,9.49,0.06,3.25,0.27341833067700305
4.0,1.0,1981.0,13.95,6.2,86.13,0.44,9.13,0.01,5.04,0.2867613496979222
5.0,1.0,1981.0,14.53,6.5,88.28,0.55,9.86,0.03,4.12,0.2506219238823284
6.0,1.0,1981.0,14.11,4.52,80.26,0.76,10.09,0.0,4.4,0.4010788424107661
7.0,1.0,1981.0,14.71,3.68,79.08,0.71,10.5,0.0,3.82,0.4333219574556788
8.0,1.0,1981.0,14.36,3.01,77.45,0.77,10.67,0.0,5.09,0.45449262911817856
9.0,1.0,1981.0,12.7,2.04,84.78,0.5,9.85,0.01,2.89,0.2773787819403666
10.0,1.0,1981.0,14.46,1.84,81.37,0.62,10.07,0.0,3.64,0.37180933076594513
11.0,1.0,1981.0,10.19,2.75,61.05,1.02,10.99,0.0,6.39,0.6293922366042246
12.0,1.0,1981.0,10.2,1.69,61.9,0.91,11.17,0.0,6.13,0.6056325244564492
13.0,1.0,1981.0,12.09,3.55,71.41,0.81,10.57,0.07,7.02,0.5160034918558012
14.0,1.0,1981.0,12.92,2.59,77.15,0.64,10.56,0.08,4.65,0.424541530420935
15.0,1.0,1981.0,13.75,7.42,83.06,0.5,5.44,0.08,3.65,0.35377740460864193
16.0,1.0,1981.0,13.54,7.72,87.26,0.39,4.44,0.14,2.8,0.2647048026779133
17.0,1.0,1981.0,14.87,8.6,81.99,0.66,8.31,0.03,3.21,0.40519391939716676
18.0,1.0,1981.0,14.76,5.53,81.92,0.64,11.35,0.0,4.19,0.3854170443272378
19.0,1.0,1981.0,15.92,5.5,86.64,0.47,10.87,0.01,4.97,0.30202028113931756
20.0,1.0,1981.0,15.61,7.89,87.81,0.46,10.81,0.01,4.85,0.2810846476133637
21.0,1.0,1981.0,16.75,6.44,87.39,0.63,10.75,0.03,2.34,0.30128216559089394
22.0,1.0,1981.0,18.45,5.22,80.18,0.77,11.53,0.02,3.92,0.5085843661714278
23.0,1.0,1981.0,17.13,6.39,80.78,0.57,9.54,0.0,3.55,0.4678303425466801
24.0,1.0,1981.0,14.88,7.5,92.18,0.47,9.32,0.09,2.23,0.17286937155735416
25.0,1.0,1981.0,16.6,4.81,84.52,0.65,11.75,0.0,3.43,0.35906737019236035
26.0,1.0,1981.0,16.59,3.43,78.72,0.73,12.04,0.0,2.5,0.48487633958068677
27.0,1.0,1981.0,17.11,6.06,76.47,0.6,7.39,0.05,2.82,0.569609264813185
28.0,1.0,1981.0,17.58,7.37,78.7,0.75,10.71,0.09,4.03,0.5375924917701684
29.0,1.0,1981.0,15.8,8.84,87.52,0.42,5.57,0.38,3.67,0.29490780524356275
30.0,1.0,1981.0,16.67,10.68,81.72,0.6,6.13,0.11,4.36,0.4643304360646119
31.0,1.0,1981.0,18.07,9.73,82.7,0.6,7.24,0.3,3.64,0.46295694631776074
1.0,2.0,1981.0,17.32,7.3,74.12,0.91,12.55,0.0,3.67,0.6440801591546876
2.0,2.0,1981.0,17.3,4.64,70.42,0.83,13.4,0.0,3.23,0.7099769671247549
3.0,2.0,1981.0,17.7,3.71,76.85,0.72,13.73,0.02,2.55,0.5611053488967859
4.0,2.0,1981.0,14.07,7.87,89.63,0.36,3.82,0.59,3.79,0.2216623682144161
5.0,2.0,1981.0,15.74,7.44,74.93,0.86,13.47,0.0,4.91,0.5777571702415327
6.0,2.0,1981.0,18.44,4.34,79.82,0.74,13.85,0.0,3.02,0.5122192285502667
7.0,2.0,1981.0,19.66,5.44,71.74,0.83,14.04,0.0,2.93,0.7741127368035501
8.0,2.0,1981.0,17.84,4.8,78.19,0.72,14.01,0.0,2.15,0.5394528768551978
9.0,2.0,1981.0,13.19,7.27,85.24,0.43,5.74,0.38,4.61,0.29915280393391663
10.0,2.0,1981.0,12.79,6.54,71.94,0.66,10.19,0.19,5.94,0.5507181436033219
11.0,2.0,1981.0,13.51,4.66,58.32,0.86,14.53,0.0,5.32,0.8229246671666437
12.0,2.0,1981.0,11.22,0.7,60.2,0.76,15.45,0.0,2.51,0.6580325148087606
13.0,2.0,1981.0,11.79,7.14,84.71,0.84,8.64,3.6,3.68,0.288831935135329
14.0,2.0,1981.0,12.33,6.3,86.99,0.59,5.43,0.95,6.37,0.248586218645638
15.0,2.0,1981.0,10.42,8.44,90.88,0.67,2.78,3.33,6.37,0.1655850465141
16.0,2.0,1981.0,16.68,6.63,82.05,1.31,14.84,0.05,3.52,0.42848896492081767
17.0,2.0,1981.0,15.89,5.75,80.31,1.1,14.28,0.0,2.7,0.44599312376775635
18.0,2.0,1981.0,11.94,7.8,77.17,0.7,5.42,0.09,2.68,0.4397391666131847
19.0,2.0,1981.0,13.35,7.49,79.46,1.11,9.78,2.37,2.69,0.4211612312450299
20.0,2.0,1981.0,14.08,5.52,70.36,1.71,16.42,1.34,4.5,0.6103367618487314
21.0,2.0,1981.0,13.78,2.27,65.42,1.38,17.18,0.0,2.66,0.6693377852442441
22.0,2.0,1981.0,14.86,2.36,76.54,1.09,15.97,0.0,2.74,0.48141111937858505
23.0,2.0,1981.0,15.89,5.6,78.58,0.99,14.1,0.02,2.46,0.4841593164341904
24.0,2.0,1981.0,17.02,3.98,75.65,1.08,17.1,0.0,1.6,0.571310698035769
25.0,2.0,1981.0,16.96,6.28,82.87,0.88,15.66,0.09,3.12,0.4127505868554602
26.0,2.0,1981.0,14.95,10.96,88.83,0.26,1.48,2.8,5.11,0.2629952313387749
27.0,2.0,1981.0,17.08,14.32,95.9,0.97,4.81,17.6,8.6,0.1133087410700373
28.0,2.0,1981.0,14.72,7.93,82.25,1.22,6.93,0.22,3.5,0.3920405368171609
1.0,3.0,1981.0,13.49,6.9,78.84,0.84,6.53,0.33,1.41,0.4325017695389808
2.0,3.0,1981.0,13.84,6.09,83.88,0.8,8.33,0.05,1.58,0.3308723256138757
3.0,3.0,1981.0,14.58,4.89,86.13,0.81,10.27,0.0,1.69,0.29024287937778626
4.0,3.0,1981.0,15.54,6.99,92.73,0.76,9.22,0.91,2.64,0.16474768302518372
5.0,3.0,1981.0,15.84,12.91,91.41,0.79,6.99,1.37,4.62,0.21855324341617166
6.0,3.0,1981.0,17.24,12.33,92.96,1.03,9.09,1.49,2.74,0.18895967811732017
7.0,3.0,1981.0,17.9,10.95,91.15,1.11,10.94,0.25,2.78,0.2394125022398761
8.0,3.0,1981.0,17.37,13.17,96.64,0.59,5.58,0.95,2.39,0.09209383243138936
9.0,3.0,1981.0,23.3,13.58,85.16,1.82,16.05,0.14,2.16,0.5399677766506148
10.0,3.0,1981.0,22.28,11.49,76.77,1.84,16.74,0.0,3.54,0.7822552100176567
11.0,3.0,1981.0,20.44,10.42,84.25,1.5,16.66,0.0,4.2,0.4778880602045348
12.0,3.0,1981.0,17.66,10.9,88.73,1.24,12.9,0.3,3.36,0.30116627055100365
13.0,3.0,1981.0,16.86,10.14,70.54,1.7,16.34,0.0,3.25,0.7483928468537453
14.0,3.0,1981.0,16.26,7.64,73.9,1.33,14.57,0.0,4.31,0.6191122971351839
15.0,3.0,1981.0,17.03,5.79,67.64,1.55,18.87,0.0,2.86,0.7773573605507689
16.0,3.0,1981.0,18.59,6.36,63.56,1.53,17.78,0.0,2.64,0.9551465560843002
17.0,3.0,1981.0,20.08,6.51,66.38,1.57,21.19,0.0,2.95,0.952860876871215
18.0,3.0,1981.0,16.44,5.85,73.36,1.24,20.02,0.09,1.93,0.6214428534118437
19.0,3.0,1981.0,15.48,8.87,78.95,0.57,6.08,0.59,3.3,0.48999643118363223
20.0,3.0,1981.0,16.3,10.23,82.52,0.89,11.46,0.41,2.73,0.4329675809840703
21.0,3.0,1981.0,16.85,11.54,76.48,0.91,9.45,1.34,6.02,0.6114442535797611
22.0,3.0,1981.0,16.84,13.95,90.25,0.82,8.18,0.64,5.77,0.26470093216657453
23.0,3.0,1981.0,17.22,14.07,91.12,0.78,8.73,0.67,4.27,0.24578516489868285
24.0,3.0,1981.0,17.57,10.21,89.18,1.13,15.53,0.17,2.1,0.2847300668937027
25.0,3.0,1981.0,16.37,10.03,90.22,0.71,6.86,4.13,3.93,0.24224305228077192
26.0,3.0,1981.0,16.0,8.95,79.46,1.65,15.99,0.03,1.93,0.49098422673229547
27.0,3.0,1981.0,15.08,8.83,94.39,0.68,2.35,20.11,6.14,0.12799890595330599
28.0,3.0,1981.0,16.06,11.17,93.28,1.55,6.43,11.17,6.88,0.1672660252071796
29.0,3.0,1981.0,14.44,8.68,79.21,2.68,16.74,5.94,7.85,0.4587447865921823
30.0,3.0,1981.0,14.68,8.66,75.47,1.88,12.77,0.11,8.46,0.5473885632421553
31.0,3.0,1981.0,16.31,6.87,77.3,2.31,21.8,0.0,4.0,0.5336949729765812
1.0,4.0,1981.0,15.24,11.12,91.46,1.52,5.29,16.61,7.69,0.2044037304275923
2.0,4.0,1981.0,16.15,9.55,82.23,1.76,12.55,1.73,4.76,0.4320760454512853
3.0,4.0,1981.0,15.66,8.39,83.09,1.82,16.63,0.02,2.37,0.39399831797165086
4.0,4.0,1981.0,16.4,10.09,78.94,2.41,21.53,0.06,1.45,0.5229114043009622
5.0,4.0,1981.0,16.41,9.79,82.86,1.5,13.85,0.0,1.76,0.4236748542586888
6.0,4.0,1981.0,16.93,9.55,87.92,1.46,13.94,0.31,2.25,0.3050031749543498
7.0,4.0,1981.0,18.02,10.67,88.2,1.73,16.65,0.1,1.88,0.319624667961115
8.0,4.0,1981.0,21.99,10.97,79.09,2.1,16.11,0.2,2.72,0.6894799507906226
9.0,4.0,1981.0,25.25,14.42,88.86,1.62,9.98,16.31,4.58,0.44967808767787165
10.0,4.0,1981.0,17.94,13.9,90.78,1.6,9.5,2.97,6.19,0.26280186747378886
11.0,4.0,1981.0,17.14,10.65,86.29,1.91,15.83,0.37,2.57,0.35594314023844875
12.0,4.0,1981.0,16.45,10.86,84.94,1.85,15.19,1.47,2.7,0.3797358787184546
13.0,4.0,1981.0,16.73,10.55,79.45,1.8,13.68,1.51,4.52,0.5223401955159344
14.0,4.0,1981.0,17.26,9.13,78.89,2.66,22.97,0.0,2.57,0.5380894925598376
15.0,4.0,1981.0,16.97,9.47,76.04,2.5,20.78,0.13,5.46,0.6053641194314145
16.0,4.0,1981.0,15.12,10.9,80.51,1.58,11.22,0.38,7.28,0.46202463541899674
17.0,4.0,1981.0,17.23,11.92,79.87,2.47,22.34,0.0,7.52,0.5362118484957428
18.0,4.0,1981.0,18.11,10.19,78.17,2.65,25.04,0.03,4.04,0.5894428100747584
19.0,4.0,1981.0,15.95,9.83,79.17,2.07,20.85,0.02,2.87,0.5039838729222936
20.0,4.0,1981.0,17.38,9.88,84.74,1.59,16.09,0.13,3.52,0.39583663790099877
